actual,prediction,game_id,team_id
2,1,22300403,1610612738
2,1,22300402,1610612743
2,1,22300402,1610612744
2,1,22300403,1610612747
2,0,22300404,1610612748
2,0,22300408,1610612737
2,0,22300414,1610612766
2,1,22300408,1610612741
2,0,22300406,1610612765
2,0,22300409,1610612754
2,0,22300410,1610612763
2,1,22300411,1610612750
2,1,22300410,1610612740
2,1,22300413,1610612757
2,1,22300413,1610612758
2,0,22300412,1610612762
2,0,22300412,1610612759
2,1,22300420,1610612739
2,0,22300420,1610612742
2,0,22300418,1610612745
2,1,22300417,1610612749
2,0,22300419,1610612752
2,1,22300417,1610612751
2,1,22300415,1610612753
2,1,22300415,1610612755
2,0,22300416,1610612764
